Parameters: Namespace(batch_size=64, calc_implicit_reward=None, calc_implicit_reward_neuron=None, constraint=None, coverage='kmn', dataset='MNIST', image_verbose=False, implicit_reward=False, input_chooser='random', input_lower_limit=0, input_shape=(1, 28, 28, 1), input_upper_limit=255, kmn_k=10000, model='LeNet4', model_input_scale=[0, 1], nb_iterations=None, nb_new_inputs=1000, params_set=['mnist', 'LeNet4', 'tensorfuzz', 'kmn'], random_seed=2, runner='tensorfuzz', skip_layers=[0, 5], tf_num_mutations=64, tf_sigma=25.5, tfc_threshold=169, time_period=3600, verbose=True)
initial coverage: 39.5706
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage_call_count 500
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
fuzzing iteration: 4
Input batch shape:
(64, 28, 28, 1)
Mutated img batch shape:
(64, 28, 28, 1)
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage_call_count 600
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
fuzzing iteration: 5
Input batch shape:
(64, 28, 28, 1)
Mutated img batch shape:
(64, 28, 28, 1)
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage_call_count 700
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
initial coverage: 39.5706
time passed (minutes): 64.8499
iterations: 6
number of new inputs: 384
final coverage: 40.3235
total coverage increase: 0.752887
